trip_id,route_id,service_id,trip_headsign,direction_id
120382,MB,invs_22_02.pex,Kabiezes,0
120383,MB,invs_22_02.pex,Basauri,1
120384,MB,invs_22_02.pex,Kabiezes,0
120385,MB,invs_22_02.pex,Basauri,1
120386,MB,invs_22_02.pex,Kabiezes,0
120387,MB,invs_22_02.pex,Basauri,1
120388,MB,invs_22_02.pex,Kabiezes,0
120389,MB,invs_22_02.pex,Basauri,1
120390,MB,invs_22_02.pex,Kabiezes,0
120391,MB,invs_22_02.pex,Basauri,1
120392,MB,invs_22_02.pex,Basauri,1
120393,MB,invs_22_02.pex,Kabiezes,0
120394,MB,invs_22_02.pex,Basauri,1
120395,MB,invs_22_02.pex,Kabiezes,0
120396,MB,invs_22_02.pex,Basauri,1
94550,MB,invl_22_02.pex,Etxebarri,1
94551,MB,invl_22_02.pex,Plentzia,0
94552,MB,invl_22_02.pex,Etxebarri,1
94553,MB,invl_22_02.pex,Plentzia,0
94554,MB,invl_22_02.pex,Etxebarri,1
94555,MB,invl_22_02.pex,Plentzia,0
94556,MB,invl_22_02.pex,Etxebarri,1
94557,MB,invl_22_02.pex,Plentzia,0
94558,MB,invl_22_02.pex,Etxebarri,1
94559,MB,invl_22_02.pex,Ibarbengoa,0
124241,MB,invv_22_02.pex,Kabiezes,0
124242,MB,invv_22_02.pex,Basauri,1
124243,MB,invv_22_02.pex,Kabiezes,0
124244,MB,invv_22_02.pex,Basauri,1
124245,MB,invv_22_02.pex,Kabiezes,0
124246,MB,invv_22_02.pex,Basauri,1
120397,MB,invs_22_02.pex,Kabiezes,0
120398,MB,invs_22_02.pex,Basauri,1
120399,MB,invs_22_02.pex,Kabiezes,0
120400,MB,invs_22_02.pex,Basauri,1
120401,MB,invs_22_02.pex,Kabiezes,0
120402,MB,invs_22_02.pex,Basauri,1
120403,MB,invs_22_02.pex,Kabiezes,0
120404,MB,invs_22_02.pex,Basauri,1
120405,MB,invs_22_02.pex,Kabiezes,0
120406,MB,invs_22_02.pex,Basauri,1
120407,MB,invs_22_02.pex,Kabiezes,0
120408,MB,invs_22_02.pex,Basauri,1
120409,MB,invs_22_02.pex,Kabiezes,0
120410,MB,invs_22_02.pex,Basauri,1
120411,MB,invs_22_02.pex,Kabiezes,0
120412,MB,invs_22_02.pex,Etxebarri,1
120413,MB,invs_22_02.pex,Ibarbengoa,0
120414,MB,invs_22_02.pex,Etxebarri,1
120415,MB,invs_22_02.pex,Ibarbengoa,0
120416,MB,invs_22_02.pex,Etxebarri,1
